index_str,p,seed,n_nodes,n_neighbors,transitivity,avg_length,sigma,hub_ness,ipr_rho,ipr_O,ipr_eigenvector,variance_rho,variance_O,variance_eigenvector,k_avg,avg_clustering,eigenvalues,weighted_k_avg,weighted_clustering,entropy_rho,entropy_O,weighted_k_avg_rho,weighted_clustering_rho,weighted_k_avg_O,weighted_clustering_O
p0.0011052951411260222_n40_k6_seed2,0.0011052951411260222,2,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]",3.688706326655746,3.6865590691603165,6.0,0.6000000000000001,6.0,0.6
p0.0011052951411260222_n40_k6_seed3,0.0011052951411260222,3,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]",3.688706326655746,3.6865590691603165,6.0,0.6000000000000001,6.0,0.6
p0.0011052951411260222_n40_k6_seed4,0.0011052951411260222,4,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]",3.688706326655746,3.6865590691603165,6.0,0.6000000000000001,6.0,0.6
p0.0011052951411260222_n40_k6_seed5,0.0011052951411260222,5,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]",3.688706326655746,3.6865590691603165,6.0,0.6000000000000001,6.0,0.6
p0.0011052951411260222_n40_k6_seed6,0.0011052951411260222,6,40,6,0.9803921568627452,1.0480769230769231,2.2813487995972883,1.15702479338843,0.025012366306249624,0.02515569157876814,0.03749999999999999,8.046099064194038e-09,0.0007081337466596204,0.025,6.05,0.5914285714285714,"[-9.220255889233288, -8.618033988749888, -8.618033988749866, -8.497225101988919, -8.406762888099077, -8.242966186296114, -8.163675115759563, -8.000000000000014, -7.999999999999989, -7.9026064479438265, -7.855276696976679, -7.661757913190683, -7.459649548425366, -7.401469242016334, -7.344576516755245, -7.317296876512837, -7.3070009631916895, -6.967010039966739, -6.9193114738722485, -6.618033988749898, -6.6180339887498905, -6.381966011250107, -6.381966011250105, -6.281148255333633, -6.108174822873759, -6.067367510931231, -6.000000000000003, -5.999999999999998, -5.999999999999992, -5.931083837513132, -5.891491460744536, -4.381966011250098, -4.381966011250091, -2.811985250195173, -2.72954751695786, -1.460752379464086, -1.3042824740748495, -0.4068283538403972, -0.3404972378426808, 9.43689570931383e-16]","[6.708167691953495, 6.000118763684521, 6.1, 6.050000000000001, 6.0276144584678075, 6.0500000000000025, 6.01898372798045, 6.000078348157139, 6.049999999999993, 6.00723962548377, 6.050000000000006, 6.038740156023637, 6.000000000000002, 6.00373022706074, 6.0, 6.000408544991603, 6.049999999999999, 6.0104166764041835, 6.050000000000001, 6.000732123009199, 6.099999999999999, 6.004009400105445, 6.100000000000003, 6.062309999180198, 6.049999999999999, 6.0044980945980475, 6.000038402442362, 6.000539044218916, 6.100000000000001, 6.002884223710987, 6.0, 6.1000000000000005, 6.000460953013965, 6.03351964657328, 6.050000000000001, 6.059778236598399, 6.0, 6.0217086909734014, 6.05, 6.050000000000001]","[0.4785998242365438, 0.599979640511225, 0.5828571428571429, 0.5914285714285714, 0.59526609283409, 0.591428571428571, 0.5967456466319231, 0.5999865688873477, 0.5914285714285729, 0.5987589213456395, 0.5914285714285701, 0.593358830395948, 0.6000000000000001, 0.5993605325038732, 0.6, 0.5999299637157253, 0.5914285714285715, 0.598214284044997, 0.5914285714285715, 0.5998744931984232, 0.5828571428571432, 0.5993126742676382, 0.5828571428571423, 0.5893182858548234, 0.5914285714285717, 0.599228898068906, 0.5999934167241661, 0.5999075924196143, 0.5828571428571424, 0.5995055616495453, 0.6000000000000001, 0.5828571428571429, 0.5999209794833205, 0.5942537748731518, 0.5914285714285714, 0.5897523022974172, 0.6, 0.5962785101188455, 0.5914285714285714, 0.5914285714285714]",3.68862596254714,3.6854568453123053,6.048205676369493,0.5917361697652295,6.043633366634596,0.5925199942912119
p0.0011052951411260222_n40_k6_seed7,0.0011052951411260222,7,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]",3.688706326655746,3.6865590691603165,6.0,0.6000000000000001,6.0,0.6
p0.0012216773489967918_n40_k6_seed0,0.0012216773489967918,0,40,6,0.9803921568627452,0.9992307692307693,2.392869699346656,1.15702479338843,0.025012369964460667,0.02515572658997487,0.03749999999999999,8.048517273612037e-09,0.0007083042340840302,0.025,6.05,0.5914285714285714,"[-9.296977153414039, -8.618033988749929, -8.618033988749895, -8.497225101988924, -8.371332433765032, -8.242966186296133, -8.000000000000005, -8.000000000000005, -8.0, -7.9999999999999964, -7.8552766969767065, -7.480760976878569, -7.4596495484253635, -7.45964954842536, -7.344576516755262, -7.344576516755254, -7.307000963191681, -7.041989256517648, -6.919311473872242, -6.618033988749898, -6.618033988749896, -6.381966011250113, -6.381966011250097, -6.372910910829099, -6.108174822873758, -6.064681061399193, -6.000000000000007, -6.000000000000004, -5.99999999999999, -5.89149146074454, -5.891491460744528, -4.381966011250111, -4.38196601125011, -2.8811379025589106, -2.7295475169578616, -1.3042824740748584, -1.3042824740748546, -0.49021030463759047, -0.340497237842682, -4.440892098500626e-16]","[6.677117124340075, 6.0908070977486295, 6.009549150281253, 6.0, 6.019306085476251, 6.0, 6.034719257308117, 6.016666666666666, 6.020883663957283, 6.114073736769678, 5.999999999999998, 6.052500482062093, 6.001106619949027, 6.090450849718739, 6.065582795840488, 6.0345491502809345, 6.0, 6.0289261995283585, 6.0, 6.0936099778973505, 6.009549150293234, 6.034810483131259, 6.065450849718683, 6.073075074285946, 6.0, 6.00247646178873, 6.0, 6.000000000000001, 6.0, 6.06408725629714, 6.0345491502802355, 6.065450849718748, 6.04786368669237, 6.056570544524687, 6.0, 6.0904508497187475, 6.009996875950927, 6.055545269373168, 6.000000000000001, 6.050000000000001]","[0.48392277868455835, 0.5844330689573779, 0.5983630028089282, 0.6, 0.5966903853469283, 0.6, 0.5940481273186086, 0.5971428571428572, 0.5964199433216086, 0.5804445022680553, 0.5999999999999999, 0.5909999173607842, 0.5998102937230241, 0.5844941400482161, 0.5887572349987734, 0.5940772885232685, 0.6000000000000001, 0.5950412229379956, 0.6, 0.5839525752175974, 0.5983630028068744, 0.5940324886060702, 0.5887798543339402, 0.5874728444081234, 0.6000000000000001, 0.5995754636933606, 0.6, 0.6000000000000001, 0.5999999999999999, 0.5890136132062049, 0.5940772885233883, 0.588779854333929, 0.5917947965670223, 0.5903021923671964, 0.6, 0.5844941400482146, 0.5982862498369839, 0.5904779538217425, 0.6000000000000001, 0.5914285714285714]",3.6886258866107138,3.685456034881023,6.048205237217747,0.5917362450483858,6.043632074917609,0.59252021572841
p0.0012216773489967918_n40_k6_seed1,0.0012216773489967918,1,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]",3.688706326655746,3.6865590691603165,6.0,0.6000000000000001,6.0,0.6
p0.0012216773489967918_n40_k6_seed2,0.0012216773489967918,2,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]",3.688706326655746,3.6865590691603165,6.0,0.6000000000000001,6.0,0.6
p0.0012216773489967918_n40_k6_seed3,0.0012216773489967918,3,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]",3.688706326655746,3.6865590691603165,6.0,0.6000000000000001,6.0,0.6
p0.0012216773489967918_n40_k6_seed4,0.0012216773489967918,4,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]",3.688706326655746,3.6865590691603165,6.0,0.6000000000000001,6.0,0.6
p0.0012216773489967918_n40_k6_seed5,0.0012216773489967918,5,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]",3.688706326655746,3.6865590691603165,6.0,0.6000000000000001,6.0,0.6
